"stream","reach","quadrat","shrub","fruit_number","fruit_quality","fruit_count","weight","brix_value","total_seed_count","relative_soil_moisture","relative_moisture_scaled","stem_density","stem_density_scaled","canopy_cover","canopy_cover_scaled","distance_upstream","distance_upstream_scaled","distance_from_stream","distance_from_stream_scaled","salmon_density","salmon_density_scaled","chum_density","chum_density_scaled","pink_density","pink_density_scaled","northness","northness_scaled","eastness","eastness_scaled"
"beales",3,"A","3-A",3,"R",29,2.777,9.5,56,-5.4,-1.36547059531088,3,-0.660798744762239,86,0.0637817375050678,110,-0.284213400915896,1.4,-0.194084897829763,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,0.342020143325669,0.458999672162453,-0.939692620785908,-1.2094300593832
"beales",3,"A","3-A",4,"R",29,0.777,7.9,39,-5.4,-1.36547059531088,3,-0.660798744762239,86,0.0637817375050678,110,-0.284213400915896,1.4,-0.194084897829763,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,0.342020143325669,0.458999672162453,-0.939692620785908,-1.2094300593832
"beales",3,"A","3-A",5,"M",29,0.972,1.8,52,-5.4,-1.36547059531088,3,-0.660798744762239,86,0.0637817375050678,110,-0.284213400915896,1.4,-0.194084897829763,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,0.342020143325669,0.458999672162453,-0.939692620785908,-1.2094300593832
"beales",3,"B","3-B",1,"R",1,0.481,3.2,35,29.3,0.904512652706007,8,1.23979958665342,92,0.753497560563666,125,-0.155723715628682,2.9,0.562463141407963,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,-0.848048096156426,-1.32568124771969,0.529919264233205,0.763883773254822
"beales",3,"C","3-C",1,"R",7,0.836,3.1,46,15.4,-0.00478899419412848,1,-1.42103807732851,87,0.178734374681501,139,-0.0358000093606149,7.4,2.83210725912114,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,-0.559192903470747,-0.892500751095931,-0.829037572555042,-1.0608485600424
"beales",3,"D","3-D",1,"R",32,1.298,6.1,38,-2.7,-1.18884365670438,6,0.479560254087159,90,0.5235922862108,146,0.0241618437734186,1.9,0.058097781916146,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,0.838670567945424,1.20379943007883,0.544639035015027,0.783648670091277
"beales",3,"D","3-D",2,"R",32,1,4.1,38,-2.7,-1.18884365670438,6,0.479560254087159,90,0.5235922862108,146,0.0241618437734186,1.9,0.058097781916146,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,0.838670567945424,1.20379943007883,0.544639035015027,0.783648670091277
"beales",3,"D","3-D",3,"R",32,0.664,3.6,44,-2.7,-1.18884365670438,6,0.479560254087159,90,0.5235922862108,146,0.0241618437734186,1.9,0.058097781916146,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,0.838670567945424,1.20379943007883,0.544639035015027,0.783648670091277
"beales",3,"D","3-D",4,"M",32,0.772,0.9,51,-2.7,-1.18884365670438,6,0.479560254087159,90,0.5235922862108,146,0.0241618437734186,1.9,0.058097781916146,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,0.838670567945424,1.20379943007883,0.544639035015027,0.783648670091277
"beales",4,"A","4-A",1,"R",11,1.093,3,60,17.2,0.112962298210205,1,-1.42103807732851,89,0.408639649034367,157,0.118387612984043,4.4,1.31901118064569,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,-0.945518575599317,-1.4718524496242,-0.325568154457157,-0.384817577188821
"beales",4,"A","4-A",2,"R",11,0.672,2.7,49,17.2,0.112962298210205,1,-1.42103807732851,89,0.408639649034367,157,0.118387612984043,4.4,1.31901118064569,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,-0.945518575599317,-1.4718524496242,-0.325568154457157,-0.384817577188821
"beales",4,"A","4-A",3,"R",11,1.693,3,68,17.2,0.112962298210205,1,-1.42103807732851,89,0.408639649034367,157,0.118387612984043,4.4,1.31901118064569,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,-0.945518575599317,-1.4718524496242,-0.325568154457157,-0.384817577188821
"beales",4,"A","4-A",4,"R",11,0.691,3.6,20,17.2,0.112962298210205,1,-1.42103807732851,89,0.408639649034367,157,0.118387612984043,4.4,1.31901118064569,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,-0.945518575599317,-1.4718524496242,-0.325568154457157,-0.384817577188821
"beales",4,"A","4-A",5,"M",11,0.344,2.6,51,17.2,0.112962298210205,1,-1.42103807732851,89,0.408639649034367,157,0.118387612984043,4.4,1.31901118064569,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,-0.945518575599317,-1.4718524496242,-0.325568154457157,-0.384817577188821
"beales",4,"C","4-C",1,"R",6,0.595,6.1,44,-0.7,-1.05800888736623,5,0.0994405878040263,91,0.638544923387233,160,0.144085550041486,1.8,0.00766124596696435,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,-0.998629534754574,-1.55150008015191,-0.0523359562429436,-0.0179364422753073
"beales",4,"C","4-C",2,"M",6,0.369,1.3,39,-0.7,-1.05800888736623,5,0.0994405878040263,91,0.638544923387233,160,0.144085550041486,1.8,0.00766124596696435,7.09212766,-0.389479663877907,2.968085106,-0.774755077253199,4.124042553,0.7333948433486,-0.998629534754574,-1.55150008015191,-0.0523359562429436,-0.0179364422753073
"bullock_main",1,"A","1-A",2,"R",12,1.331,8.1,43,11.5,-0.259916794403519,1,-1.42103807732851,92,0.753497560563666,8,-1.15794326086896,7.9,3.08428993886705,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.999390827019096,-1.55264174895196,-0.0348994967025009,0.00547627447945767
"bullock_main",1,"A","1-A",3,"R",12,2.284,6.5,50,11.5,-0.259916794403519,1,-1.42103807732851,92,0.753497560563666,8,-1.15794326086896,7.9,3.08428993886705,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.999390827019096,-1.55264174895196,-0.0348994967025009,0.00547627447945767
"bullock_main",1,"A","1-A",1,"R",12,1.756,8.9,49,11.5,-0.259916794403519,1,-1.42103807732851,92,0.753497560563666,8,-1.15794326086896,7.9,3.08428993886705,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.999390827019096,-1.55264174895196,-0.0348994967025009,0.00547627447945767
"bullock_main",1,"B","1-B",3,"R",96,0.775,4.7,30,48.1,2.13435948448461,6,0.479560254087159,89,0.408639649034367,10,-1.14081130283066,2.1,0.15897085381451,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,0.994521895368273,1.43752122952028,-0.104528463267653,-0.0880176638017495
"bullock_main",1,"B","1-B",4,"R",96,3.269,5.4,56,48.1,2.13435948448461,6,0.479560254087159,89,0.408639649034367,10,-1.14081130283066,2.1,0.15897085381451,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,0.994521895368273,1.43752122952028,-0.104528463267653,-0.0880176638017495
"bullock_main",1,"B","1-B",1,"R",96,2.334,5.9,58,48.1,2.13435948448461,6,0.479560254087159,89,0.408639649034367,10,-1.14081130283066,2.1,0.15897085381451,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,0.994521895368273,1.43752122952028,-0.104528463267653,-0.0880176638017495
"bullock_main",1,"B","1-B",2,"R",96,3.102,7.6,61,48.1,2.13435948448461,6,0.479560254087159,89,0.408639649034367,10,-1.14081130283066,2.1,0.15897085381451,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,0.994521895368273,1.43752122952028,-0.104528463267653,-0.0880176638017495
"bullock_main",1,"B","1-B",5,"R",96,1.722,5,59,48.1,2.13435948448461,6,0.479560254087159,89,0.408639649034367,10,-1.14081130283066,2.1,0.15897085381451,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,0.994521895368273,1.43752122952028,-0.104528463267653,-0.0880176638017495
"bullock_main",1,"C","1-C",1,"R",7,1.635,7.2,32,26.1,0.695177021764968,3,-0.660798744762239,88,0.293687011857934,31,-0.96092574342856,1.1,-0.345394505677308,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,0.17364817766693,0.206501349305798,0.984807753012208,1.37468296205135
"bullock_main",1,"D","1-D",1,"R",77,1.727,6.4,42,36.6,1.38205956079025,5,0.0994405878040263,86,0.0637817375050678,47,-0.823870079122198,4.9,1.5711938603916,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.358367949545301,-0.591334438428913,-0.933580426497202,-1.20122294180295
"bullock_main",1,"D","1-D",2,"R",77,1.387,5.3,42,36.6,1.38205956079025,5,0.0994405878040263,86,0.0637817375050678,47,-0.823870079122198,4.9,1.5711938603916,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.358367949545301,-0.591334438428913,-0.933580426497202,-1.20122294180295
"bullock_main",1,"D","1-D",4,"R",77,1.539,5.4,34,36.6,1.38205956079025,5,0.0994405878040263,86,0.0637817375050678,47,-0.823870079122198,4.9,1.5711938603916,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.358367949545301,-0.591334438428913,-0.933580426497202,-1.20122294180295
"bullock_main",1,"D","1-D",3,"R",77,1.171,4.4,39,36.6,1.38205956079025,5,0.0994405878040263,86,0.0637817375050678,47,-0.823870079122198,4.9,1.5711938603916,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.358367949545301,-0.591334438428913,-0.933580426497202,-1.20122294180295
"bullock_main",2,"A","2-A",2,"R",58,1.616,6.4,21,37.5,1.44093520699242,6,0.479560254087159,66,-2.23527100602359,62,-0.695380393834983,0.5,-0.648013721372398,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.292371704722737,-0.492363442471607,0.956304755963036,1.33641070872915
"bullock_main",2,"A","2-A",3,"R",58,1.694,7.6,26,37.5,1.44093520699242,6,0.479560254087159,66,-2.23527100602359,62,-0.695380393834983,0.5,-0.648013721372398,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.292371704722737,-0.492363442471607,0.956304755963036,1.33641070872915
"bullock_main",2,"A","2-A",1,"R",58,1.292,6.8,23,37.5,1.44093520699242,6,0.479560254087159,66,-2.23527100602359,62,-0.695380393834983,0.5,-0.648013721372398,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.292371704722737,-0.492363442471607,0.956304755963036,1.33641070872915
"bullock_main",2,"A","2-A",4,"R",58,0.703,4,23,37.5,1.44093520699242,6,0.479560254087159,66,-2.23527100602359,62,-0.695380393834983,0.5,-0.648013721372398,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.292371704722737,-0.492363442471607,0.956304755963036,1.33641070872915
"bullock_main",2,"A","2-A",5,"R",58,0.461,NA,18,37.5,1.44093520699242,6,0.479560254087159,66,-2.23527100602359,62,-0.695380393834983,0.5,-0.648013721372398,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.292371704722737,-0.492363442471607,0.956304755963036,1.33641070872915
"bullock_main",2,"B","2-B",1,"R",47,1.166,4,37,34.6,1.2512247914521,5,0.0994405878040263,82,-0.396028811200664,74,-0.592588645605211,0.5,-0.648013721372398,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.0348994967025008,-0.106246309177123,-0.999390827019096,-1.28958952008468
"bullock_main",2,"B","2-B",2,"R",47,2.29,7.1,54,34.6,1.2512247914521,5,0.0994405878040263,82,-0.396028811200664,74,-0.592588645605211,0.5,-0.648013721372398,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.0348994967025008,-0.106246309177123,-0.999390827019096,-1.28958952008468
"bullock_main",2,"B","2-B",5,"R",47,0.652,4.5,19,34.6,1.2512247914521,5,0.0994405878040263,82,-0.396028811200664,74,-0.592588645605211,0.5,-0.648013721372398,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.0348994967025008,-0.106246309177123,-0.999390827019096,-1.28958952008468
"bullock_main",2,"B","2-B",3,"R",47,1.228,5.7,23,34.6,1.2512247914521,5,0.0994405878040263,82,-0.396028811200664,74,-0.592588645605211,0.5,-0.648013721372398,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.0348994967025008,-0.106246309177123,-0.999390827019096,-1.28958952008468
"bullock_main",2,"B","2-B",4,"R",47,1.36,4.4,35,34.6,1.2512247914521,5,0.0994405878040263,82,-0.396028811200664,74,-0.592588645605211,0.5,-0.648013721372398,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.0348994967025008,-0.106246309177123,-0.999390827019096,-1.28958952008468
"bullock_main",2,"C","2-C",1,"R",29,0.832,4.7,28,14.3,-0.0767481173301104,7,0.859679920370292,36,-5.68385012131658,86,-0.48979689737544,0.5,-0.648013721372398,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.139173100960065,-0.262619789110344,0.99026806874157,1.38201477303434
"bullock_main",2,"C","2-C",4,"R",29,1.063,6.4,22,14.3,-0.0767481173301104,7,0.859679920370292,36,-5.68385012131658,86,-0.48979689737544,0.5,-0.648013721372398,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.139173100960065,-0.262619789110344,0.99026806874157,1.38201477303434
"bullock_main",2,"C","2-C",5,"R",29,1.512,7.1,24,14.3,-0.0767481173301104,7,0.859679920370292,36,-5.68385012131658,86,-0.48979689737544,0.5,-0.648013721372398,13.37376543,0.341319032117648,10.97820988,0.423784759956956,2.395555556,0.0407083162768145,-0.139173100960065,-0.262619789110344,0.99026806874157,1.38201477303434
